year,transect,site,treat,plot,Source,plant,tbo,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,HB,L,TR,7,H,2.2,0,8,4,4.75,NA,19,0,HB.L.7,HB.L.7.H
2011,HB,L,TR,7,H,2.4,0,8,4,10.75,NA,43,0,HB.L.7,HB.L.7.H
2011,HB,L,TR,7,H,3.1,0,12,11,11.66666667,NA,128,0,HB.L.7,HB.L.7.H
2011,HB,L,TR,7,H,4.2,0,9,1,9,NA,9,1,HB.L.7,HB.L.7.H
2011,HB,L,TR,7,H,5.3,0,10,7,7.285714286,NA,51,1,HB.L.7,HB.L.7.H
2011,HB,L,TR,7,L,2.3,0,18,9,3,NA,27,1.285714286,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,L,2.5,0,18,16,4.714285714,4.833333333,75,73.14285714,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,L,3.3,0,25,13,9.5,NA,124,0,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,L,3.5,0,58,31,11.5,5.833333333,260,0,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,L,4.1,0,35,12,1.1,0.5,12,4,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,L,5.1,0,33,25,9,6.714285714,204,5.333333333,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,L,5.2,0,51,27,10.125,3.666666667,202,0,HB.L.7,HB.L.7.L
2011,HB,L,TR,7,M,1.1,0,33,26,9.25,4.285714286,191,6.857142857,HB.L.7,HB.L.7.M
2011,HB,L,TR,7,M,1.5,0,15,10,10.2,NA,102,4,HB.L.7,HB.L.7.M
2011,HB,L,TR,7,M,4.1,0,26,24,12.57142857,6.833333333,250,0,HB.L.7,HB.L.7.M
2011,HB,L,TR,7,M,4.4,0,14,3,7.333333333,NA,22,0,HB.L.7,HB.L.7.M
2011,HB,L,TR,7,M,5.4,0,20,12,6.2,4.666666667,70,19.8,HB.L.7,HB.L.7.M
2011,HB,L,TR,8,H,1.4,0,5,1,8,NA,8,0,HB.L.8,HB.L.8.H
2011,HB,L,TR,8,H,2.2,0,10,3,7.333333333,NA,22,0,HB.L.8,HB.L.8.H
2011,HB,L,TR,8,H,3.1,0,7,2,9,NA,18,0,HB.L.8,HB.L.8.H
2011,HB,L,TR,8,H,3.5,0,6,1,10,NA,10,0,HB.L.8,HB.L.8.H
2011,HB,L,TR,8,H,5.1,0,6,2,12.5,NA,25,0,HB.L.8,HB.L.8.H
2011,HB,L,TR,8,H,5.4,0,6,1,7,NA,7,0,HB.L.8,HB.L.8.H
2011,HB,L,TR,8,L,1.5,0,19,5,8.75,NA,44,5,HB.L.8,HB.L.8.L
2011,HB,L,TR,8,L,5.4,0,15,2,2.5,NA,5,0,HB.L.8,HB.L.8.L
2011,HB,L,TR,8,M,1.5,0,14,3,5.666666667,NA,17,1,HB.L.8,HB.L.8.M
2011,HB,L,TR,8,M,3.1,0,24,21,12,5.666666667,208,2.333333333,HB.L.8,HB.L.8.M
2011,HB,L,TR,8,M,3.3,0,14,10,8,NA,80,0,HB.L.8,HB.L.8.M
2011,HB,L,TR,9,H,1.1,0,9,2,3.5,NA,7,0,HB.L.9,HB.L.9.H
2011,HB,L,TR,9,H,3.1,0,10,6,7.5,NA,45,0,HB.L.9,HB.L.9.H
2011,HB,L,TR,9,H,3.3,0,6,1,6,NA,6,0,HB.L.9,HB.L.9.H
2011,HB,L,TR,9,H,5.4,0,8,1,6,NA,6,0,HB.L.9,HB.L.9.H
2011,HB,L,TR,9,L,1.1,0,37,20,10.4,5.4,173,1.3,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,1.2,0,15,3,3,NA,9,0,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,1.5,0,13,2,1.5,NA,3,0,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,2.2,0,18,12,11.25,NA,135,3,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,2.5,0,17,11,11,NA,121,0,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,3.2,0,13,3,10.25,NA,31,0.75,HB.L.9,HB.L.9.L
