transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,HE,2011,11,L,2013,2,dormant,25,13,1,1,1,2,179,keep
NK,HE,2011,11,L,2014,3,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2011,11,L,2015,4,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2011,11,M,2013,2,dormant,25,18,2,1,1,3,186.5,keep
NK,HE,2011,11,M,2014,3,dormant,25,16,1,0,0,4,203,keep
NK,HE,2011,11,M,2015,4,dormant,25,15,1,NA,NA,NA,200,keep
NK,HE,2011,11,H,2013,2,dormant,25,16,1,1,1,1,169,keep
NK,HE,2011,11,H,2014,3,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2011,11,H,2015,4,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2011,11,E,2013,2,dormant,25,22,5,3,3,1.4,177.8,keep
NK,HE,2011,11,E,2014,3,dormant,25,17,2,0,0,2,190,keep
NK,HE,2011,11,E,2015,4,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2011,11,F,2013,2,dormant,25,23,0,NA,NA,NA,NA,keep
NK,HE,2011,11,F,2014,3,dormant,25,23,0,NA,NA,NA,NA,keep
NK,HE,2011,11,F,2015,4,dormant,25,23,0,NA,NA,NA,NA,keep
NK,HE,2011,11,MT,2013,2,dormant,25,14,0,NA,NA,NA,NA,excl
NK,HE,2011,11,MT,2014,3,dormant,25,14,0,NA,NA,NA,NA,excl
NK,HE,2011,11,MT,2015,4,dormant,25,14,0,NA,NA,NA,NA,excl
NK,HE,2011,12,M,2013,2,dormant,25,21,2,1,1,5,201,keep
NK,HE,2011,12,H,2013,2,dormant,25,9,0,NA,NA,NA,NA,keep
NK,HE,2011,13,L,2013,2,dormant,25,20,0,NA,NA,NA,NA,keep
NK,HE,2011,13,L,2014,3,dormant,25,20,0,NA,NA,NA,NA,keep
NK,HE,2011,13,L,2015,4,dormant,25,20,0,NA,NA,NA,NA,keep
NK,HE,2011,13,M,2013,2,dormant,25,17,8,2,1,1.25,173.625,keep
NK,HE,2011,13,M,2014,3,dormant,25,9,2,0,0,0,173,keep
NK,HE,2011,13,M,2015,4,dormant,25,7,0,NA,NA,NA,NA,keep
NK,HE,2011,13,H,2013,2,dormant,25,18,7,1,1,0.571428571,170.4285714,keep
NK,HE,2011,13,H,2014,3,dormant,25,11,1,0,0,2,190,keep
NK,HE,2011,13,H,2015,4,dormant,25,10,0,NA,NA,NA,NA,keep
NK,HE,2011,13,E,2013,2,dormant,25,19,2,2,2,2,177.5,keep
NK,HE,2011,13,E,2014,3,dormant,25,17,5,0,0,1.6,186.6,keep
NK,HE,2011,13,E,2015,4,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2011,13,F,2013,2,dormant,25,13,3,0,0,1,169,excl
NK,HE,2011,13,F,2014,3,dormant,25,10,0,NA,NA,NA,NA,excl
NK,HE,2011,13,F,2015,4,dormant,25,10,0,NA,NA,NA,NA,excl
